,id,name,team,overall,value_eur,player_positions,team_position,ST,LW,RW,CAM,LM,RM,CDM,LB,CB,RB,Overall attacking,Overall defending
3685,248020,B. Planić,FCSB (Steaua),72,3100000,CB,LCB,44+2,37+2,37+2,37+2,41+2,41+2,60+2,63+2,71+2,63+2,40.2,70.0
3686,46175,M. Rosenberg,Malmö FF,72,1100000,ST,RS,71+2,69+2,69+2,70+2,69+2,69+2,57+2,53+2,53+2,53+2,69.8,32.7
3687,48745,F. Coloccini,San Lorenzo de Almagro,72,625000,CB,RCB,57+2,54+2,54+2,56+2,54+2,54+2,66+2,61+2,71+2,61+2,59.6,69.7
3688,53110,C. Gordon,Celtic,72,525000,GK,SUB,,,,,,,,,,,18.2,17.0
3689,53739,L. Grant,Manchester United,72,525000,GK,RES,,,,,,,,,,,21.6,17.3
3690,54033,T. Huddlestone,Derby County,72,2000000,CDM,RDM,67+2,63+2,63+2,66+2,63+2,63+2,71+2,63+2,70+2,63+2,71.6,68.3
3691,102064,C. Terzi,Spezia,72,950000,CB,RCB,49+2,45+2,45+2,46+2,48+2,48+2,64+2,64+2,70+2,64+2,46.8,71.3
3692,121937,M. Rensing,Fortuna Düsseldorf,72,850000,GK,SUB,,,,,,,,,,,16.2,14.0
3693,137361,G. Pazzini,Hellas Verona,72,1600000,ST,SUB,70+2,65+2,65+2,65+2,63+2,63+2,47+2,45+2,47+2,45+2,69.8,29.0
3694,137460,A. Rosina,US Salernitana 1919,72,1400000,"RW, CAM",CAM,67+2,72+2,72+2,72+2,72+2,72+2,49+2,47+2,35+2,47+2,66.4,22.0
3695,137774,D. Maietta,Empoli,72,625000,CB,RCB,37+2,35+2,35+2,37+2,38+2,38+2,62+2,58+2,70+2,58+2,36.4,72.3
3696,140196,Y. Endo,Gamba Osaka,72,775000,"CM, CDM, CAM",CDM,65+3,65+3,65+3,68+3,65+3,65+3,69+3,63+3,66+3,63+3,68.8,66.7
3697,142258,S. Bossut,SV Zulte-Waregem,72,1700000,GK,GK,,,,,,,,,,,16.8,16.3
3698,142499,Aitor Sanz,CD Tenerife,72,1200000,"CDM, CM, CAM",CDM,61+2,65+2,65+2,67+2,66+2,66+2,70+2,66+2,66+2,66+2,58.0,67.3
3699,142592,I. Damonte,Club Atlético Banfield,72,975000,"CM, CDM",SUB,67+2,67+2,67+2,69+2,68+2,68+2,71+2,68+2,71+2,68+2,66.6,70.0
3700,142762,J. Bottinelli,Unión de Santa Fe,72,1200000,CB,LCB,46+2,42+2,42+2,44+2,44+2,44+2,63+2,58+2,71+2,58+2,51.4,70.0
3701,143598,L. Pocrnjic,Club Atlético Aldosivi,72,325000,GK,GK,,,,,,,,,,,13.8,11.7
3702,149258,A. Cordaz,Crotone,72,525000,GK,GK,,,,,,,,,,,12.0,10.7
3703,150590,C. Jallet,Amiens SC,72,875000,"RB, LB",RB,65+2,67+2,67+2,69+2,68+2,68+2,72+2,70+2,71+2,70+2,67.6,73.0
3704,152922,E. Barreto,Sampdoria,72,1500000,CM,SUB,66+2,67+2,67+2,69+2,67+2,67+2,72+2,69+2,71+2,69+2,65.0,73.3
3705,155463,V. Găman,Al Shabab,72,2500000,CB,SUB,59+2,55+2,55+2,57+2,57+2,57+2,68+2,65+2,70+2,65+2,55.2,72.0
3706,156483,C. Lucchetti,Atlético Tucumán,72,325000,GK,GK,,,,,,,,,,,22.2,18.7
3707,157219,G. Fernández,Estudiantes de La Plata,72,1400000,"CAM, ST, LW",SUB,68+2,68+2,68+2,70+2,67+2,67+2,56+2,51+2,51+2,51+2,66.8,44.3
3708,157804,S. Carson,Manchester City,72,1700000,GK,RES,,,,,,,,,,,17.8,15.0
3709,158375,N. Asare,KAA Gent,72,1900000,"LB, CB",LB,63+2,67+2,67+2,68+2,68+2,68+2,71+2,71+2,71+2,71+2,61.0,71.3
3710,158394,K. Reichel,1. FC Union Berlin,72,1900000,LB,LB,67+2,66+2,66+2,65+2,67+2,67+2,69+2,70+2,70+2,70+2,67.4,71.7
3711,158851,J. Beausejour,Universidad de Chile,72,875000,LB,LB,69+2,71+2,71+2,69+2,71+2,71+2,69+2,71+2,70+2,71+2,63.0,69.7
3712,158956,J. Barroso,Colo-Colo,72,1200000,CB,LCB,56+2,54+2,54+2,57+2,57+2,57+2,68+2,68+2,71+2,68+2,54.4,72.0
3713,159043,J. Pitroipa,Paris FC,72,1900000,CAM,CAM,66+3,70+3,70+3,70+3,70+3,70+3,52+3,52+3,45+3,52+3,61.2,34.0
3714,163056,N. Champagne,Real Oviedo,72,1400000,GK,SUB,,,,,,,,,,,18.2,17.3
3715,163261,P. Bardsley,Burnley,72,1100000,RB,SUB,63+2,63+2,63+2,64+2,64+2,64+2,72+2,70+2,74+2,70+2,60.6,76.0
3716,163419,B. Sagna,Montreal Impact,72,575000,"RB, RWB",RB,64+3,66+3,66+3,66+3,67+3,67+3,71+3,71+3,74+3,71+3,64.2,72.3
3717,163492,N. Lombaerts,KV Oostende,72,1200000,CB,SUB,51+2,49+2,49+2,52+2,52+2,52+2,69+2,65+2,71+2,65+2,55.4,74.0
3718,163873,Eduardo,SC Braga,72,525000,GK,SUB,,,,,,,,,,,15.6,17.3
3719,164505,B. Guzan,Atlanta United,72,1400000,GK,GK,,,,,,,,,,,16.6,13.7
3720,164985,C. Théréau,Fiorentina,72,1000000,"LW, CF",SUB,73+2,71+2,71+2,72+2,70+2,70+2,53+2,49+2,48+2,49+2,75.0,31.3
3721,165321,S. Ward,Stoke City,72,1400000,LB,SUB,65+2,65+2,65+2,66+2,67+2,67+2,72+2,71+2,73+2,71+2,67.8,75.0
3722,165493,N. Navarro,San Lorenzo de Almagro,72,1400000,GK,GK,,,,,,,,,,,21.0,18.7
3723,167599,R. Elm,Kalmar FF,72,2700000,CM,CM,65+2,66+2,66+2,68+2,67+2,67+2,67+2,63+2,62+2,63+2,69.0,58.3
3724,167601,K. Nababkin,PFC CSKA Moscow,72,1900000,"LB, RB, CB",SUB,63+2,62+2,62+2,61+2,63+2,63+2,69+2,71+2,71+2,71+2,57.4,75.0
3725,167812,S. Kaya,Sparta Praha,72,2700000,CB,SUB,54+2,53+2,53+2,54+2,56+2,56+2,66+2,65+2,70+2,65+2,53.0,70.7
3726,167933,Y. Cahuzac,Racing Club de Lens,72,1200000,"CDM, CM",SUB,56+2,56+2,56+2,60+2,59+2,59+2,70+2,65+2,70+2,65+2,54.0,69.0
3727,167936,J. Sorbon,En Avant de Guingamp,72,950000,CB,RCB,47+2,46+2,46+2,49+2,49+2,49+2,67+2,63+2,71+2,63+2,50.0,73.0
3728,168930,Omar Ramos,Real Oviedo,72,2700000,"RM, LM",SUB,65+2,71+2,71+2,71+2,71+2,71+2,53+2,53+2,45+2,53+2,63.4,35.7
3729,169345,M. Suttner,Fortuna Düsseldorf,72,1900000,"LB, LWB",RES,63+2,67+2,67+2,66+2,68+2,68+2,70+2,71+2,69+2,71+2,64.8,71.3
3730,169386,S. Floccari,SPAL,72,1100000,ST,SUB,71+2,67+2,67+2,67+2,65+2,65+2,44+2,43+2,41+2,43+2,67.8,20.3
3731,169596,R. Shawcross,Stoke City,72,2300000,CB,SUB,48+2,44+2,44+2,47+2,47+2,47+2,66+2,62+2,71+2,62+2,47.2,72.0
3732,170039,R. Shotton,Middlesbrough,72,2500000,"CB, RWB, RB",LCB,60+2,60+2,60+2,60+2,63+2,63+2,68+2,69+2,71+2,69+2,56.8,73.3
3733,171087,Christian Fernández,Real Oviedo,72,1500000,"CB, LB",LCB,62+2,59+2,59+2,58+2,61+2,61+2,68+2,68+2,71+2,68+2,60.0,69.3
3734,172013,De la Bella,UD Las Palmas,72,1400000,LB,LB,62+2,65+2,65+2,65+2,66+2,66+2,70+2,71+2,70+2,71+2,61.6,69.0
3735,172077,J. Basanta,Monterrey,72,950000,CB,RES,57+2,52+2,52+2,53+2,54+2,54+2,66+2,64+2,71+2,64+2,54.8,70.7
3736,172317,David Fernández,AD Alcorcón,72,1200000,CB,LCB,53+2,50+2,50+2,53+2,54+2,54+2,68+2,68+2,70+2,68+2,52.2,74.7
3737,172649,O. Kaya,KV Mechelen,72,1900000,"CAM, LM, RM",RM,64+2,70+2,70+2,70+2,70+2,70+2,55+2,51+2,44+2,51+2,62.6,30.3
3738,172882,P. Kone,Western United FC,72,2700000,"CAM, CM, CF",RCM,69+2,70+2,70+2,70+2,69+2,69+2,60+2,58+2,56+2,58+2,67.0,49.3
3739,173132,F. Dionisi,Frosinone,72,2500000,ST,SUB,71+2,67+2,67+2,66+2,65+2,65+2,49+2,50+2,48+2,50+2,63.6,31.3
3740,173162,F. Ceravolo,Parma,72,2500000,ST,SUB,70+2,69+2,69+2,68+2,67+2,67+2,48+2,47+2,45+2,47+2,66.6,27.0
3741,173370,B. Feilhaber,Sporting Kansas City,72,1500000,CM,RCM,67+2,69+2,69+2,70+2,69+2,69+2,68+2,65+2,64+2,65+2,67.0,64.7
3742,175391,Mateus,Boavista FC,72,1400000,"LM, RM",LM,71+2,72+2,72+2,71+2,71+2,71+2,56+2,55+2,52+2,55+2,67.8,38.0
3743,175932,R. De Laet,Royal Antwerp FC,72,2500000,"RB, CB, ST",SUB,64+2,65+2,65+2,63+2,67+2,67+2,67+2,71+2,70+2,71+2,56.6,70.7
3744,176345,Kwoun Sun Tae,Kashima Antlers,72,1400000,GK,GK,,,,,,,,,,,18.0,17.3
3745,176346,Choi Chul Soon,Jeonbuk Hyundai Motors,72,1900000,"RB, LB",RB,61+2,65+2,65+2,64+2,67+2,67+2,69+2,70+2,70+2,70+2,58.6,70.3
3746,176619,A. Ramos,Granada CF,72,2000000,ST,SUB,71+2,69+2,69+2,67+2,67+2,67+2,54+2,54+2,54+2,54+2,70.0,39.7
3747,176841,L. Jutkiewicz,Birmingham City,72,3000000,ST,ST,70+2,65+2,65+2,65+2,64+2,64+2,54+2,51+2,55+2,51+2,66.4,38.7
3748,176903,M. Iturra,Deportes Iquique,72,975000,"CDM, CM, LB",SUB,53+2,57+2,57+2,60+2,59+2,59+2,71+2,66+2,70+2,66+2,51.0,74.3
3749,177522,Suso Santana,CD Tenerife,72,1600000,"RM, RW",RW,67+2,72+2,72+2,70+2,71+2,71+2,62+2,63+2,61+2,63+2,60.6,55.3
3750,177782,H. Özmert,Antalyaspor,72,1200000,"CDM, CM, CAM",LDM,65+2,64+2,64+2,66+2,64+2,64+2,70+2,66+2,69+2,66+2,66.6,70.3
3751,177790,A. Jędrzejczyk,Legia Warszawa,72,2300000,"CB, RB",LCB,60+2,59+2,59+2,58+2,62+2,62+2,68+2,68+2,70+2,68+2,60.6,67.0
3752,178087,Bueno,Boavista FC,72,2700000,"CAM, ST",SUB,70+2,70+2,70+2,71+2,68+2,68+2,52+2,51+2,48+2,51+2,70.2,35.3
3753,178171,Sergio Sánchez,Cádiz CF,72,1500000,CB,RCB,59+2,57+2,57+2,58+2,59+2,59+2,69+2,67+2,71+2,67+2,59.6,72.0
3754,178393,A. Cerci,US Salernitana 1919,72,2700000,"RW, ST",SUB,69+2,72+2,72+2,71+2,70+2,70+2,53+2,50+2,48+2,50+2,68.0,30.0
3755,178475,D. Ciofani,US Cremonese,72,2000000,ST,LS,71+2,59+2,59+2,59+2,56+2,56+2,42+2,40+2,44+2,40+2,59.4,16.0
3756,178571,Bracali,Boavista FC,72,325000,GK,GK,,,,,,,,,,,18.2,15.7
3757,178600,U. Demirok,Atiker Konyaspor,72,2500000,CB,SUB,53+2,50+2,50+2,55+2,54+2,54+2,69+2,64+2,71+2,64+2,50.0,72.7
3758,179565,M. Gavranović,Dinamo Zagreb,72,3100000,"ST, CAM, CF",SUB,71+2,70+2,70+2,71+2,69+2,69+2,54+2,52+2,49+2,52+2,63.8,29.7
3759,179891,M. Heller,SV Darmstadt 98,72,1900000,"RM, LM",RM,68+2,71+2,71+2,67+2,71+2,71+2,49+2,53+2,45+2,53+2,66.0,32.0
3760,179972,E. Derdiyok,Göztepe SK,72,2800000,ST,ST,71+2,64+2,64+2,67+2,63+2,63+2,50+2,43+2,47+2,43+2,72.8,25.0
3761,180281,Fernandinho Silva,Chongqing Dangdai Lifan FC SWM Team,72,1900000,"LM, RM, ST",LW,68+2,73+2,73+2,70+2,70+2,70+2,53+2,56+2,50+2,56+2,64.0,47.3
3762,180754,K. Nakamura,Kawasaki Frontale,72,1000000,"CAM, CM, CDM",CAM,67+2,68+2,68+2,70+2,68+2,68+2,69+2,64+2,64+2,64+2,71.8,60.3
3763,180818,D. McGoldrick,Sheffield United,72,2800000,ST,RS,70+2,69+2,69+2,70+2,69+2,69+2,52+2,49+2,46+2,49+2,68.2,27.3
3764,181256,M. Kozáčik,Viktoria Plzeň,72,850000,GK,SUB,,,,,,,,,,,13.2,12.0
3765,181375,M. Martins,Bolivia,72,0,ST,,70+2,66+2,66+2,66+2,65+2,65+2,51+2,47+2,49+2,47+2,69.6,31.7
3766,181479,A. Wilkinson,Sydney FC,72,1200000,CB,LCB,53+2,48+2,48+2,53+2,51+2,51+2,67+2,62+2,70+2,62+2,51.6,71.0
3767,182343,Hao Junmin,Shandong Luneng TaiShan FC,72,2400000,CM,RDM,64+2,69+2,69+2,71+2,70+2,70+2,68+2,66+2,61+2,66+2,58.4,59.7
3768,182411,Yu Hanchao,Guangzhou Evergrande Taobao FC,72,2400000,"LM, RM",SUB,67+2,70+2,70+2,69+2,70+2,70+2,58+2,58+2,51+2,58+2,64.4,37.7
3769,182435,M. Langerak,Nagoya Grampus,72,2100000,GK,GK,,,,,,,,,,,20.4,15.3
3770,183068,C. Beauvue,RC Celta,72,2800000,"ST, RW",SUB,70+2,68+2,68+2,67+2,66+2,66+2,52+2,51+2,50+2,51+2,73.6,30.3
3771,183177,L. Barrios,Club Atlético Huracán,72,1600000,ST,SUB,70+3,65+3,65+3,66+3,64+3,64+3,54+3,52+3,53+3,52+3,67.2,39.3
3772,183211,M. Škoda,SK Slavia Praha,72,2000000,ST,SUB,71+2,66+2,66+2,66+2,65+2,65+2,57+2,54+2,57+2,54+2,69.4,43.3
3773,183220,J. Morávek,FC Augsburg,72,3000000,"CM, CAM",RES,67+2,69+2,69+2,71+2,68+2,68+2,64+2,59+2,59+2,59+2,69.4,54.0
3774,183287,F. Lemoine,FC Lorient,72,2000000,"CDM, CM",LCM,60+2,62+2,62+2,64+2,63+2,63+2,71+2,66+2,69+2,66+2,61.6,71.0
3775,183361,A. Weber,Stade Malherbe Caen,72,2000000,CB,CB,47+2,45+2,45+2,51+2,50+2,50+2,69+2,61+2,71+2,61+2,46.2,69.7
3776,183567,E. Mulder,Swansea City,72,2100000,GK,SUB,,,,,,,,,,,20.2,14.7
3777,183955,T. Chevalier,Valenciennes FC,72,2400000,"RW, ST, CF",RS,71+2,71+2,71+2,70+2,71+2,71+2,54+2,53+2,49+2,53+2,69.0,30.7
3778,183982,N. Roux,En Avant de Guingamp,72,2800000,ST,SUB,71+2,69+2,69+2,69+2,69+2,69+2,52+2,51+2,49+2,51+2,71.0,29.7
3779,184136,Orlando Sá,Standard de Liège,72,2800000,ST,SUB,70+2,66+2,66+2,67+2,65+2,65+2,51+2,48+2,49+2,48+2,65.6,32.0
3780,184139,Ricardo Ferreira,Portimonense SC,72,2200000,GK,GK,,,,,,,,,,,17.6,13.7
3781,184220,M. Diskerud,Ulsan Hyundai FC,72,3100000,CM,RCM,68+2,70+2,70+2,71+2,71+2,71+2,65+2,63+2,60+2,63+2,66.0,54.3
3782,185010,M. Pazdan,MKE Ankaragücü,72,2300000,CB,RCB,53+2,53+2,53+2,56+2,54+2,54+2,68+2,63+2,70+2,63+2,51.0,70.7
3783,185144,M. Coda,Benevento,72,3000000,ST,LS,71+2,64+2,64+2,64+2,61+2,61+2,42+2,40+2,40+2,40+2,62.8,17.0
3784,185260,D. Kadah,Göztepe SK,72,1900000,"CAM, ST",CAM,72+2,70+2,70+2,71+2,69+2,69+2,53+2,49+2,48+2,49+2,69.2,26.7
3785,185394,V. Forren,Molde FK,72,2300000,CB,LCB,56+2,52+2,52+2,57+2,54+2,54+2,69+2,62+2,71+2,62+2,53.4,70.0
3786,185427,O. Nyland,Aston Villa,72,2300000,GK,RES,,,,,,,,,,,17.0,13.3
3787,186347,M. Rybus,Lokomotiv Moscow,72,2600000,"LB, LM",LB,67+2,71+2,71+2,70+2,71+2,71+2,70+2,71+2,68+2,71+2,65.4,71.3
3788,186385,A. Clayton,Middlesbrough,72,2600000,"CDM, CM",CDM,60+2,64+2,64+2,65+2,66+2,66+2,71+2,68+2,67+2,68+2,56.6,70.0
3789,186567,K. Adénon,Al Wehda,72,1500000,CB,LCB,47+2,48+2,48+2,49+2,50+2,50+2,66+2,65+2,71+2,65+2,51.8,72.0
3790,186598,K. Naughton,Swansea City,72,2500000,"RB, LB",SUB,61+2,63+2,63+2,63+2,65+2,65+2,70+2,70+2,70+2,70+2,60.8,72.3
3791,186651,G. Vural,Gazişehir Gaziantep F.K.,72,2200000,"LB, LM",LM,69+2,71+2,71+2,68+2,71+2,71+2,66+2,70+2,65+2,70+2,67.8,65.3
3792,186681,Alberto,Rayo Vallecano,72,1400000,GK,GK,,,,,,,,,,,19.4,13.3
3793,186783,A. Adomah,Nottingham Forest,72,2700000,"RM, LM, RW",LM,69+2,71+2,71+2,70+2,71+2,71+2,62+2,62+2,57+2,62+2,63.6,49.0
3794,186805,J. Montero,Birmingham City,72,3000000,"LM, LW",SUB,68+2,72+2,72+2,71+2,71+2,71+2,49+2,49+2,42+2,49+2,62.4,25.7
3795,186941,R. Wolf,Fortuna Düsseldorf,72,2000000,GK,RES,,,,,,,,,,,13.6,13.0
3796,187084,M. Diouf,Stoke City,72,2800000,"ST, RWB",RES,70+2,68+2,68+2,67+2,68+2,68+2,66+2,69+2,69+2,69+2,67.6,65.3
3797,187478,J. Pereira,Querétaro,72,2000000,CB,RCB,49+2,47+2,47+2,49+2,50+2,50+2,65+2,63+2,71+2,63+2,47.8,72.0
3798,188000,Sandro Manoel,Al Taawoun,72,2600000,CDM,RDM,58+2,61+2,61+2,62+2,64+2,64+2,70+2,69+2,68+2,69+2,56.0,67.3
3799,188070,R. Vargas,KV Oostende,72,2400000,"CAM, LW",LW,66+2,70+2,70+2,71+2,68+2,68+2,48+2,46+2,39+2,46+2,62.6,25.3
3800,188124,Simao Mate,Vegalta Sendai,72,2600000,"CDM, CB",RCB,56+2,57+2,57+2,58+2,59+2,59+2,71+2,69+2,74+2,69+2,52.4,73.7
3801,188157,L. Immers,ADO Den Haag,72,1800000,"CM, CAM",RCM,69+2,64+2,64+2,67+2,65+2,65+2,70+2,64+2,69+2,64+2,72.0,62.7
3802,188269,R. Gutiérrez,CD Palestino,72,1100000,ST,RS,70+2,64+2,64+2,65+2,63+2,63+2,48+2,44+2,46+2,44+2,61.6,21.3
3803,188334,F. Cacciatore,Cagliari,72,1900000,"RB, LB",RB,61+2,61+2,61+2,60+2,63+2,63+2,69+2,71+2,72+2,71+2,58.4,74.0
3804,188335,A. Budimir,RCD Mallorca,72,3300000,ST,ST,70+2,62+2,62+2,60+2,59+2,59+2,46+2,46+2,47+2,46+2,63.8,30.3
3805,188416,S. Wuytens,AZ Alkmaar,72,2600000,CB,SUB,64+2,64+2,64+2,67+2,66+2,66+2,72+2,69+2,70+2,69+2,65.2,69.7
3806,188499,M. Iori,Cittadella,72,975000,"CM, CDM",CM,64+2,65+2,65+2,68+2,67+2,67+2,70+2,66+2,67+2,66+2,65.0,65.0
3807,188506,R. Meggiorini,Chievo Verona,72,2000000,ST,RS,71+2,71+2,71+2,71+2,70+2,70+2,52+2,50+2,48+2,50+2,68.2,34.0
3808,188541,P. Schiattarella,Benevento,72,2400000,"CM, CDM",SUB,68+2,71+2,71+2,72+2,71+2,71+2,68+2,66+2,64+2,66+2,64.0,62.0
3809,188616,M. Sau,Benevento,72,2800000,ST,SUB,71+2,76+2,76+2,75+2,75+2,75+2,50+2,52+2,41+2,52+2,66.6,30.7
3810,188871,L. Kozák,Sparta Praha,72,3000000,ST,ST,70+2,61+2,61+2,64+2,60+2,60+2,50+2,44+2,48+2,44+2,63.0,26.3
3811,188930,Laure,AD Alcorcón,72,1100000,RB,RB,57+2,61+2,61+2,60+2,64+2,64+2,69+2,71+2,67+2,71+2,58.8,68.7
3812,188949,L. Siligardi,Parma,72,2700000,"RW, LW, LM",SUB,67+2,72+2,72+2,72+2,71+2,71+2,53+2,52+2,44+2,52+2,64.6,36.7
3813,189118,Thiago Cionek,SPAL,72,1500000,CB,CB,45+2,45+2,45+2,46+2,48+2,48+2,63+2,63+2,71+2,63+2,42.2,72.3
3814,189342,C. Pinsoglio,Juventus,72,2200000,GK,RES,,,,,,,,,,,13.8,15.0
3815,189397,F. Jungwirth,San Jose Earthquakes,72,2500000,"CB, CDM",LCB,55+2,56+2,56+2,58+2,59+2,59+2,70+2,66+2,70+2,66+2,52.6,71.3
3816,189436,L. Ariaudo,Frosinone,72,2500000,CB,LCB,49+2,47+2,47+2,50+2,50+2,50+2,66+2,63+2,71+2,63+2,43.8,72.3
3817,189485,Diego Farías,Lecce,72,3100000,"ST, CAM, CF",SUB,71+2,74+2,74+2,74+2,73+2,73+2,51+2,52+2,45+2,52+2,67.0,34.0
3818,189557,A. Rispoli,Lecce,72,2500000,"RB, RM",SUB,69+2,69+2,69+2,67+2,70+2,70+2,69+2,71+2,69+2,71+2,65.6,67.7
3819,189661,Álvaro,Birmingham City,72,3200000,ST,SUB,71+2,68+2,68+2,67+2,67+2,67+2,46+2,47+2,41+2,47+2,64.2,24.0
3820,189680,Fábio,FC Nantes,72,2700000,"RB, LB",RB,64+2,68+2,68+2,68+2,69+2,69+2,70+2,70+2,70+2,70+2,61.6,71.3
3821,189707,Da Costa,Bologna,72,850000,GK,SUB,,,,,,,,,,,15.2,17.7
3822,189715,M. Vejinović,AZ Alkmaar,72,3000000,"CM, CDM",SUB,66+2,66+2,66+2,68+2,66+2,66+2,67+2,63+2,64+2,63+2,71.0,59.3
3823,189723,S. Armenteros,Benevento,72,3100000,ST,RS,71+2,69+2,69+2,68+2,68+2,68+2,50+2,50+2,48+2,50+2,68.8,31.3
3824,189923,C. Nhamoinesu,Sparta Praha,72,1500000,"CB, LB",RCB,56+2,59+2,59+2,57+2,61+2,61+2,66+2,69+2,71+2,69+2,56.6,68.0
3825,189945,Y. Ravet,SC Freiburg,72,3000000,RM,SUB,68+2,71+2,71+2,71+2,71+2,71+2,54+2,54+2,47+2,54+2,64.4,35.3
3826,190084,P. Tachtsidis,Lecce,72,3100000,CM,CM,63+2,62+2,62+2,66+2,64+2,64+2,71+2,65+2,70+2,65+2,63.8,66.3
3827,190356,Guedes,Vitória de Setúbal,72,2500000,ST,SUB,70+2,65+2,65+2,66+2,64+2,64+2,49+2,47+2,49+2,47+2,69.2,32.3
3828,190424,E. Adu,AIK,72,3100000,"CM, CDM",CM,52+2,62+2,62+2,66+2,64+2,64+2,69+2,64+2,61+2,64+2,45.6,64.0
3829,190430,J. Bennett,Cardiff City,72,2600000,"LB, LWB",LB,59+2,62+2,62+2,62+2,65+2,65+2,70+2,71+2,70+2,71+2,58.4,72.0
3830,190560,O. Gonzalez,Toronto FC,72,2500000,CB,RCB,49+2,45+2,45+2,48+2,49+2,49+2,65+2,63+2,71+2,63+2,48.8,69.7
3831,190593,D. Aleksić,Al Ahli,72,3100000,"CAM, RM, CF",RCM,68+2,71+2,71+2,71+2,71+2,71+2,55+2,53+2,47+2,53+2,66.0,33.3
3832,190664,J. Schieber,FC Augsburg,72,3000000,ST,SUB,71+2,64+2,64+2,63+2,62+2,62+2,47+2,44+2,47+2,44+2,68.6,24.7
3833,190671,M. Frantz,SC Freiburg,72,2400000,"CM, RM, CDM",RDM,65+2,67+2,67+2,68+2,69+2,69+2,71+2,69+2,68+2,69+2,62.4,67.3
3834,190772,M. Besler,Sporting Kansas City,72,2000000,CB,LCB,54+2,55+2,55+2,58+2,59+2,59+2,71+2,68+2,71+2,68+2,54.0,72.0
3835,190942,K. Hansen,FC Nordsjælland,72,2500000,CB,RCB,59+2,60+2,60+2,62+2,63+2,63+2,71+2,70+2,71+2,70+2,56.2,72.7
3836,191269,S. Al Faraj,Al Hilal,72,3000000,"CM, LM, CDM",LDM,68+2,70+2,70+2,71+2,70+2,70+2,69+2,67+2,66+2,67+2,67.8,65.7
3837,191388,T. Usami,Gamba Osaka,72,3300000,"LM, RM, ST",RS,66+2,71+2,71+2,71+2,71+2,71+2,49+2,49+2,38+2,49+2,62.0,25.3
3838,191547,S. Koroki,Urawa Red Diamonds,72,2500000,ST,LF,71+2,69+2,69+2,71+2,68+2,68+2,51+2,48+2,46+2,48+2,66.2,23.3
3839,192026,Souza,Cerezo Osaka,72,2700000,"CM, CDM",SUB,68+2,69+2,69+2,70+2,69+2,69+2,70+2,68+2,68+2,68+2,66.4,66.3
3840,192128,M. Albornoz,Hannover 96,72,2700000,"LB, LM",RES,61+2,67+2,67+2,67+2,69+2,69+2,70+2,70+2,68+2,70+2,61.2,70.7
3841,192129,K. Nordfeldt,Swansea City,72,2100000,GK,SUB,,,,,,,,,,,17.8,11.7
3842,192205,R. Krhin,FC Nantes,72,2700000,"CDM, CM",SUB,57+2,56+2,56+2,60+2,58+2,58+2,71+2,64+2,70+2,64+2,56.8,71.3
3843,192321,C. Buchtmann,FC St. Pauli,72,3200000,"CM, CDM, CAM",SUB,64+2,69+2,69+2,70+2,70+2,70+2,67+2,66+2,62+2,66+2,61.8,61.0
3844,192362,L. Narsingh,Feyenoord,72,3100000,"RW, LW",SUB,66+2,72+2,72+2,69+2,70+2,70+2,44+2,48+2,37+2,48+2,62.0,23.3
3845,192540,M. Duffy,Stoke City,72,1900000,CAM,SUB,63+2,70+2,70+2,70+2,69+2,69+2,55+2,52+2,47+2,52+2,59.0,36.7
3846,192665,A. Luthe,FC Augsburg,72,1900000,GK,SUB,,,,,,,,,,,15.4,14.0
3847,192778,I. Mboyo,KV Kortrijk,72,2500000,"ST, LM",ST,71+2,71+2,71+2,71+2,71+2,71+2,57+2,54+2,53+2,54+2,68.2,35.3
3848,192904,G. Kashia,San Jose Earthquakes,72,2300000,CB,RCB,46+2,47+2,47+2,50+2,51+2,51+2,67+2,63+2,71+2,63+2,43.8,70.3
3849,193077,D. Falcinelli,Bologna,72,3200000,ST,RES,70+2,65+2,65+2,67+2,63+2,63+2,44+2,41+2,39+2,41+2,61.0,16.7
3850,193254,C. Trimmel,1. FC Union Berlin,72,1900000,RB,RB,65+2,67+2,67+2,66+2,69+2,69+2,69+2,70+2,69+2,70+2,65.4,69.0
3851,193278,C. Mavinga,Toronto FC,72,2700000,CB,LCB,57+2,61+2,61+2,61+2,65+2,65+2,69+2,70+2,71+2,70+2,54.2,70.0
3852,193420,M. Schmiedebach,1. FC Union Berlin,72,2600000,CDM,RDM,58+2,63+2,63+2,65+2,65+2,65+2,71+2,69+2,69+2,69+2,53.6,71.7
3853,193495,André Santos,Os Belenenses,72,2900000,"CM, CDM",RDM,64+2,66+2,66+2,68+2,67+2,67+2,70+2,66+2,66+2,66+2,63.2,68.0
3854,193550,B. Kayal,Charlton Athletic,72,2700000,"CM, CDM",SUB,64+2,67+2,67+2,69+2,68+2,68+2,71+2,68+2,70+2,68+2,62.0,69.7
3855,193632,A. Novikovas,Legia Warszawa,72,3100000,"RM, LM, ST",RM,66+2,71+2,71+2,69+2,70+2,70+2,50+2,50+2,41+2,50+2,61.4,20.0
3856,193780,I. Hajrović,Dinamo Zagreb,72,3300000,RM,RM,68+2,72+2,72+2,71+2,71+2,71+2,56+2,56+2,49+2,56+2,64.8,39.0
3857,193884,S. Clucas,Stoke City,72,3100000,"CM, LM, LB",LCM,67+2,69+2,69+2,69+2,70+2,70+2,69+2,68+2,65+2,68+2,67.8,64.0
